City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,muli,2.9167,73.5667,27.83,75,88,2.89,MV,1710534826
1,watertown,42.3709,-71.1828,7.22,81,100,6.69,US,1710534583
2,adamstown,-25.066,-130.1015,25.9,84,100,6.18,PN,1710534827
3,ushuaia,-54.8,-68.3,6.79,70,40,9.77,AR,1710534536
4,nadym,65.5333,72.5167,-4.55,96,100,6.73,RU,1710534828
5,grytviken,-54.2811,-36.5092,4.14,90,100,4.04,GS,1710534536
6,avarua,-21.2078,-159.775,28.03,69,20,2.06,CK,1710534252
7,jamestown,42.097,-79.2353,6.77,92,100,3.6,US,1710534324
8,edinburgh of the seven seas,-37.0676,-12.3116,16.91,74,98,4.35,SH,1710534376
9,anadyr,64.75,177.4833,-18.72,84,75,0.0,RU,1710534539
10,ejura,7.3856,-1.3562,30.66,46,5,2.19,GH,1710534830
11,labytnangi,66.6572,66.4183,-8.57,97,100,3.46,RU,1710534745
12,qaqortoq,60.7167,-46.0333,-6.69,84,20,0.97,GL,1710534558
13,port-aux-francais,-49.35,70.2167,5.42,83,12,14.61,TF,1710534530
14,margaret river,-33.95,115.0667,17.94,87,37,1.81,AU,1710534524
15,fort bragg,35.139,-79.006,21.91,68,100,8.75,US,1710534832
16,yeniseysk,58.4497,92.1703,-17.25,99,88,1.79,RU,1710534833
17,enewetak,11.3474,162.3373,26.35,79,100,5.93,MH,1710534833
18,susuman,62.7833,148.1667,-21.68,98,100,1.79,RU,1710534664
19,santa elena de uairen,4.6167,-61.1333,32.48,27,86,3.05,VE,1710534711
20,garoowe,8.4054,48.4845,22.44,76,30,5.45,SO,1710534835
21,freetown,8.484,-13.2299,26.1,85,2,3.03,SL,1710534791
22,puerto ayora,-0.7393,-90.3518,31.98,91,67,2.24,EC,1710534583
23,fort mcmurray,56.7268,-111.381,2.77,60,100,5.66,CA,1710534618
24,waitangi,-43.9535,-176.5597,12.68,83,100,2.68,NZ,1710534836
25,puerto natales,-51.7236,-72.4875,8.25,61,75,8.75,CL,1710534493
26,san luis de la loma,17.2706,-100.8939,29.41,58,35,5.18,MX,1710534749
27,lunavada,23.1333,73.6167,24.17,25,1,2.27,IN,1710534546
28,maracas,-13.4411,-40.4308,21.98,84,74,2.76,BR,1710534838
29,invercargill,-46.4,168.35,8.34,89,99,4.47,NZ,1710534555
30,ust-nera,64.5667,143.2,-21.62,99,100,2.41,RU,1710534594
31,zaragoza,41.6561,-0.8773,18.34,61,20,2.57,ES,1710534558
32,chimbote,-9.0853,-78.5783,24.04,75,86,4.19,PE,1710534640
33,bethel,41.3712,-73.414,18.17,59,40,5.14,US,1710534427
34,papatowai,-46.5619,169.4708,8.63,86,96,5.84,NZ,1710534531
35,tyukhtet,56.5389,89.3011,-11.35,95,94,3.0,RU,1710534840
36,strelka,58.0728,93.0344,-11.5,96,98,2.35,RU,1710534841
37,kodiak,57.79,-152.4072,-1.27,93,100,4.12,US,1710534600
38,yellowknife,62.456,-114.3525,-13.66,64,75,3.6,CA,1710534842
39,st. john's,47.5649,-52.7093,1.75,81,100,2.06,CA,1710534842
40,horta,38.5333,-28.6333,16.8,79,40,9.77,PT,1710534714
41,keelung,25.1283,121.7419,17.94,93,11,0.81,TW,1710534687
42,nuku'alofa,-21.1333,-175.2,26.19,94,75,3.09,TO,1710534843
43,myrina,39.8797,25.0742,7.58,76,0,0.0,GR,1710534844
44,datca,36.7378,27.6842,14.54,69,1,4.96,TR,1710534844
45,along,28.1667,94.7667,14.97,81,68,0.81,IN,1710534845
46,nizhneudinsk,54.9076,99.0276,-10.35,95,100,0.85,RU,1710534845
47,lazaro cardenas,17.9583,-102.2,28.42,59,30,5.83,MX,1710534846
48,atafu village,-8.5421,-172.5159,29.44,74,15,5.16,TK,1710534725
49,takoradi,4.8845,-1.7554,27.79,80,22,2.18,GH,1710534802
50,mossel bay,-34.1831,22.146,19.96,84,25,3.77,ZA,1710534847
51,nemuro,43.3236,145.575,-2.42,62,30,7.03,JP,1710534647
52,vilyuchinsk,52.9306,158.4028,-0.85,81,100,3.95,RU,1710534848
53,fale old settlement,-9.3852,-171.2468,29.26,76,9,5.46,TK,1710534606
54,egilsstadir,65.2653,-14.3948,-3.05,100,100,2.06,IS,1710534849
55,simpang,-1.2667,104.0833,23.63,94,96,0.93,ID,1710534850
56,oyama,36.3,139.8,13.66,40,0,3.81,JP,1710534850
57,west island,-12.1568,96.8225,26.99,69,1,3.6,CC,1710534850
